part_or_model	count	example_source
I84	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93767
D44	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:95527
R09	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:127270
73P71	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:137576
74B211	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:137593
H84	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:290756
Z84	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:379563
B34	21	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:471953
H460	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55041
D00	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70554
X44	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70596
I04	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70607
H463	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83218
P463	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83221
R44	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94841
I44	18	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:508378
PE32	16	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/ghidra_runs_all_exec.tsv:3
L493	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:76945
P43	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78619
L460	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78635
H44	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:93761
P453	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:94152
C80	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:100282
X473	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:106203
P04	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:109335
A98	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:142884
F08	15	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:145040
N04	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:15104
K84	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54956
H43O	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:62853
L007	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70556
P420	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78612
L450	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78633
D453	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79939
C0423	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:81427
D473	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:81550
L48	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83876
L00	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:85345
L400	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:85348
T84	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:96365
T45O	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:101672
P483	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:106230
P49	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:126997
SC00	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:134479
OB00	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:134482
74A144	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:137612
F20	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:140113
O99	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:150309
N00	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:158899
H88	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:162542
J84	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:316720
R84	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:318697
B70OD	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346675
D28M	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:370131
E44	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:393760
D027	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:402277
X035	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:402280
I07	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:402307
T400	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:402736
WD460	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:404651
D04	12	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:506109
Z00K	10	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:233986
K000	10	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:243177
O29	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:5619
F11	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52073
F12	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52074
D40	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:72620
HDI03	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:74516
AD49	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:74916
K874	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:76933
B40	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:77012
BB48	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:77061
H46	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:78641
L453	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79942
T483	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:83328
P08	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:85452
E84	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:95532
L08	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:96218
Z04	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:96392
IND001	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:98150
X463	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:106191
P00	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:109433
T423	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:111891
USER32	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:132619
Y27	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:137969
B71	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:150307
N09	9	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:154906
