symbol	count	example_source
INDO	57	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:79446
QRSP	57	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:122144
RQP	57	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:123269
STEP	57	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:324494
FUN_21004270	56	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:4114
FUN_21004650	56	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:4384
DAT_21212874	56	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55651
HWND__	56	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:239634
MAINB_II	55	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:321022
FUN_21006940	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:148
FUN_21006170	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:193
FUN_21141390	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:258312
FUN_21146567	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:262951
FUN_21196960	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:299927
PHP	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53512
SETLD_RD.	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:98184
RLSD	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102357
QDSP	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102383
SPQRW	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:121079
RPVQ	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:122601
PVW	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:123083
QWRP	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:125295
RQPW	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:131601
DIO_R-W.VIH	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:316438
DBDPW	54	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:369218
UAEFFKKK	53	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:240969
LOAD	53	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:104570
FUN_21006340	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:354
BOOL	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:802
UINT	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:16512
LPVOID	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:16578
CONCAT13	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55186
DAT_21212974	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55652
UAEXP6AXPAX0K	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:231268
Z0K	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:231268
FUN_21171613	52	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:271132
SOUND	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_functions_full.csv:769
UAEFFK	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:173464
QSRP	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:44077
HCPTM	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:54613
D84	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:56746
DDFDS	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57442
X440	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66462
NSTRG	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102491
NCNT	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102492
DIO_R-W.	51	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323327
FUN_21004690	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:4402
FUN_21007510	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:8015
FUN_21009320	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:10311
FUN_21164360	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:44681
FUN_21132450	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:61241
FUN_21163374	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:72257
FUN_21079340	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:95431
FUN_21080930	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:99633
FUN_21088950	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:106119
FUN_21126230	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230506
FUN_21126280	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230533
PAX	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230753
FUN_21135080	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:247807
NFCR	50	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:189
LEAK_VLT.VIW	49	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:761
CHAR	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:50197
DAT_21214118	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55327
DAT_21214114	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55336
FUN_21132100	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:60833
FUN_21132180	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:60836
DAT_21214416	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:247854
NFCW	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:29
TP1006	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:289
QVWU	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:34927
UUUUUU	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51249
DBDHP	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:62692
VPTH0	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:67831
EEPROM.VIX	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:84768
DDLDR	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:103988
PQW	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:123145
WPQR	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:123316
QBE?	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:132661
QQU	48	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:366207
LV6	47	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Source_LV6_103f_cal.llb.txt:1
FUN_21006690	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:488
FUN_21132800	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62613
FUN_21063130	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:78346
FUN_21080780	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:99525
FUN_21080520	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:99643
FUN_21182940	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:264605
FUN_21183470	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:294075
HEY	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:726
MSGG	46	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:317163
GPIBDRV	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Final_Cal.zip.txt:6
SERPDRV	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Final_Cal.zip.txt:10
LV5_1	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/Source_LV5_1_103f_cal.llb.txt:1
ISRC	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:820
NULL	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:56
FPDCO	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:852
RPWQ	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:38470
L8L	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:60643
EHE	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:61820
X4W3	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:64011
IX4	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:64081
OLO	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:66352
L-D	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:68218
TSTRG	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:82791
IND_CAL.VIH	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:114275
AVG_RD.VIU	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:312450
MQRP	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:368426
THIST	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:378893
XVW	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:411968
QQRP	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:491672
TDTHP	45	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:496675
FUN_21136050	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62263
FUN_21132630	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:68965
DAT_21213952	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:98615
FUN_21097320	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:110746
DAT_21223664	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:324859
DAT_21226500	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:348188
CALONS	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:161
EEPROM	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:110
GAIN	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:754
XTYP_XACT_COMPLETE	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:46618
START	44	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:323683
EXE	43	/Users/<user>/LC103/2026-02-24_full_decompile_run2/FULL_DECOMPILE_INDEX.md:23
DECIMAL	43	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/.DS_Store.txt:3
HEXADECIMAL	43	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/.DS_Store.txt:3
DESCRIPTION	43	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/.DS_Store.txt:3
WAIT.VIS	43	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:814
DAT_1010_2214	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:172
ZEXT24	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_LVDEVICE_DLL_decomp_full.txt:717
FUN_21183780	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:207
FUN_21006560	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:6737
DAT_21214108	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55166
DAT_21214124	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:55324
FUN_21136070	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:92838
FUN_21080550	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:99479
FUN_21096800	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:109681
FUN_21095730	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:118508
FUN_21196690	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:159972
FUN_21196780	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:159976
FUN_21143860	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:260602
FUN_21165020	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:277936
EARG	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:849
EOIP	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:850
SVW1	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:37390
XDSTM	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57443
P84	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58493
HICON	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58716
XFPHP	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:60259
XVICD	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:62693
D4D3	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:63915
L42	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:68219
HDFDS	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70430
PHIST	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:74156
CAPO	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:80431
IST_WT_A.VIH	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:90467
EPAR	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102507
QVWS	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:121071
VPQR	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:121105
PQRS	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:122399
WRPQS	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:124398
H.QR	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:131875
HHIST	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:317121
TURN	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346797
POWER	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346798
QRRQ	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:368429
WAIT.VIHD	42	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:493883
UAEFFPAK	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13463
SER	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:51
TP1020	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:290
CIN.TDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:843
CIN.MDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:843
MEM_HARDWARE_ERR	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
XDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
ADSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
UDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
VDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
MDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
DDSP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
ANOVA	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:844
EDVR	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_with_lines.txt:848
SC2040	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102422
ESAC	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102469
ENEB	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102471
EDMA	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102472
EFSO	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102476
EBUS	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102478
ESRG	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102480
EBNP	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102484
ETAB	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102485
NADDR	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102490
EORN	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102509
EFRM	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102513
GDDE	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102529
SAFETY	41	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:346797
PDF	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/binwalk_scan/LC103_simplified_operating_instructions_(pull_chart).pdf.txt:5
FREELIBRARY	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_103FIN_EXE_decomp_full.txt:3591
UAEFFGG	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:12775
WPARAM	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:50445
DAT_21211864	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:60237
DAT_00000040	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62547
FUN_21060780	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:64878
UBE?	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230983
DAT_21213950	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:251840
VER#_SAV.VIW	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict.txt:235
SCXI-1160	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70483
SCXI-1161	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70483
SCXI-1162	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70483
SCXI-1163	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:70483
GPCTR	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102411
TIO-10	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102454
XDDE	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
DMERRL_ADVACKTIMEOUT	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
UDDE	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
DMLERR_BUSY	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
DDE_FBUSY	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
WDDE	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
DMLERR_DATAACKTIMEOUT	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102521
DMLERR_INVALIDPARAMETER	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102524
DMLERR_UNFOUND_QUEUED_ID	40	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:102528
CPOR	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:32
CLRPARO	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/103FIN_command_hits_strict_context.txt:96
FPHP#	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53016
H4U0	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:53616
PALM	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55244
PFPHP	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55787
T8L	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:55890
H0#E	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:57549
DICON	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58266
HXJ	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:58364
L8F	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:60658
HLL	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:60673
L07	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:61713
T08	39	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:61716
