from,to,type
1000:074e,1010:001c,"UNCONDITIONAL_CALL"
1000:0758,1000:06dd,"CONDITIONAL_JUMP"
1000:075e,1000:0764,"CONDITIONAL_JUMP"
1000:0781,1000:0786,"CONDITIONAL_JUMP"
1000:0783,1000:081e,"UNCONDITIONAL_JUMP"
1000:078d,1010:0020,"UNCONDITIONAL_CALL"
1000:079c,1010:0020,"UNCONDITIONAL_CALL"
1000:07aa,1000:0878,"UNCONDITIONAL_CALL"
1000:07c0,1000:0b46,"UNCONDITIONAL_CALL"
1000:07d3,1000:0848,"UNCONDITIONAL_CALL"
1000:07e0,1000:0b46,"UNCONDITIONAL_CALL"
1000:080d,1010:0024,"UNCONDITIONAL_CALL"
1000:0814,1000:081e,"CONDITIONAL_JUMP"
1000:083f,1010:001c,"UNCONDITIONAL_CALL"
1000:085c,1000:086f,"CONDITIONAL_JUMP"
1000:0863,1000:086f,"CONDITIONAL_JUMP"
1000:086d,1000:0874,"UNCONDITIONAL_JUMP"
1000:088c,1000:089f,"CONDITIONAL_JUMP"
1000:0893,1000:089f,"CONDITIONAL_JUMP"
1000:089d,1000:08a4,"UNCONDITIONAL_JUMP"
1000:093b,1000:0940,"CONDITIONAL_JUMP"
1000:0942,1000:093d,"UNCONDITIONAL_JUMP"
1000:0950,1000:0957,"CONDITIONAL_JUMP"
1000:095a,1000:0954,"UNCONDITIONAL_JUMP"
1000:0976,1000:097f,"CONDITIONAL_JUMP"
1000:0982,1000:097a,"UNCONDITIONAL_JUMP"
1000:09b3,1000:09bd,"CONDITIONAL_JUMP"
1000:09c1,1000:09b5,"UNCONDITIONAL_JUMP"
1000:09d3,1000:09d8,"CONDITIONAL_JUMP"
1000:09fe,1000:0a05,"CONDITIONAL_JUMP"
1000:0a03,1000:0a08,"UNCONDITIONAL_JUMP"
1000:0a0a,1000:0a12,"CONDITIONAL_JUMP"
1000:0a0f,1000:0a18,"UNCONDITIONAL_JUMP"
1000:0a2a,1000:09a6,"UNCONDITIONAL_CALL"
1000:0a7c,1000:0abd,"CONDITIONAL_JUMP"
1000:0a88,1000:0abd,"CONDITIONAL_JUMP"
1000:0a9a,1000:0a9d,"CONDITIONAL_JUMP"
1000:0aa9,1000:0aac,"CONDITIONAL_JUMP"
1000:0abb,1000:0ad6,"UNCONDITIONAL_JUMP"
1000:0ac2,1000:0ac5,"CONDITIONAL_JUMP"
1000:0acd,1000:0ad0,"CONDITIONAL_JUMP"
1000:0b04,1000:0b16,"CONDITIONAL_JUMP"
1000:0b08,1000:0b16,"CONDITIONAL_JUMP"
1000:0b14,1000:0b01,"UNCONDITIONAL_JUMP"
1000:0b26,1000:0af4,"UNCONDITIONAL_CALL"
1000:0b2b,1000:0b3f,"CONDITIONAL_JUMP"
1000:0b33,1010:000c,"UNCONDITIONAL_CALL"
1000:0b3a,1010:000c,"UNCONDITIONAL_CALL"
1000:0b53,1000:0b66,"CONDITIONAL_JUMP"
1000:0b6b,1000:0b7e,"CONDITIONAL_JUMP"
1000:0b80,1000:0b97,"CONDITIONAL_JUMP"
1000:0b95,1000:0bcf,"UNCONDITIONAL_JUMP"
1000:0bac,1000:0ba2,"CONDITIONAL_JUMP"
1000:0bbd,1000:0bcb,"CONDITIONAL_JUMP"
1000:0bc2,1000:0bcb,"CONDITIONAL_JUMP"
1000:0bc4,1000:0bcc,"CONDITIONAL_JUMP"
1000:0bc9,1000:0bcc,"CONDITIONAL_JUMP"
1000:0bd0,1000:0bd9,"CONDITIONAL_JUMP"
1000:0bee,1000:0bf9,"CONDITIONAL_JUMP"
1000:0c21,1000:0c31,"CONDITIONAL_JUMP"
1000:0c28,1010:0008,"UNCONDITIONAL_CALL"
1000:0c2f,1000:0c38,"CONDITIONAL_JUMP"
1000:0c31,1000:0010,"UNCONDITIONAL_CALL"
1000:0c36,1000:0c3d,"UNCONDITIONAL_JUMP"
