vector_offset	opcode	target
0x0000	LJMP	0x37F9
0x0003	OP_FF	
0x000B	LJMP	0x24DD
0x0013	LJMP	0x2619
0x001B	OP_FF	
0x0023	LJMP	0x26DE
0x002B	OP_E4	
0x0033	OP_F0	
