jump_site	mnemonic	target	ops
0x13E45	ajmp	0x13B4E	0x13b4e
0x13E57	djnz	0x13E55	r2, 0x13e55
0x13EA6	jb	0x13EBD	acc.7, 0x13ebd                       ; [0xe0:1]=0
0x13EBB	sjmp	0x13ED1	0x13ed1
0x13EED	djnz	0x13EE2	r3, 0x13ee2
0x13EF5	jz	0x13EFB	0x13efb
0x13F10	jnc	0x13F13	0x13f13
0x13F1F	djnz	0x13EFF	r3, 0x13eff
0x13F25	sjmp	0x13F27	0x13f27
0x13F28	ajmp	0x13A20	0x13a20
0x13F36	jc	0x13F38	0x13f38
0x13F3A	jnc	0x13F3C	0x13f3c
0x13F43	sjmp	0x13F91	0x13f91
0x13F45	cjne	0x000BC	r6, #0xbc, 0x13f68
0x13F55	jz	0x13F5D	0x13f5d
0x13F59	jz	0x13F77	0x13f77
0x13F63	jz	0x13F6E	0x13f6e
0x13F7B	sjmp	0x13F6E	0x13f6e
0x13FD7	djnz	0x13FB1	b, 0x13fb1                           ; [0xf0:1]=0
0x13FDF	djnz	0x13FDB	r7, 0x13fdb
0x13FE1	sjmp	0x14029	0x14029
0x13FE7	djnz	0x13FE3	r7, 0x13fe3
0x13FE9	sjmp	0x14029	0x14029
0x13FF3	djnz	0x13FEF	r7, 0x13fef
0x13FF5	sjmp	0x14029	0x14029
0x13FFB	djnz	0x13FF7	r7, 0x13ff7
0x13FFD	sjmp	0x14077	0x14077
0x14003	djnz	0x13FFF	r7, 0x13fff
0x14005	sjmp	0x14077	0x14077
0x1400F	djnz	0x1400B	r7, 0x1400b
0x14011	sjmp	0x14077	0x14077
0x1401B	djnz	0x14017	r7, 0x14017
0x1401D	sjmp	0x14077	0x14077
0x14027	djnz	0x14023	r7, 0x14023
0x14029	sjmp	0x14077	0x14077
0x1402B	sjmp	0x13FFF	0x13fff
0x1402D	sjmp	0x14029	0x14029
0x1402F	sjmp	0x13FF7	0x13ff7
0x14031	sjmp	0x14007	0x14007
