jump_site	mnemonic	target	ops
0x14BC4	jnc	0x14C09	0x14c09
0x14BCD	jnb	0x00027	0x27.2, 0x14bc8                      ; [0x27:1]=0
0x14BD4	jnb	0x14BDB	psw.5, 0x14bdb                       ; [0xd0:1]=0
0x14BDC	ljmp	0x14836	0x14836
0x14BE4	cjne	0x00005	a, #0x05, 0x14be7
0x14BE7	jc	0x14BEA	0x14bea
0x14BFB	ljmp	0x14A10	0x14a10
0x14BFE	ljmp	0x13DBD	0x13dbd
0x14C0A	jc	0x14BFE	0x14bfe
0x14C0C	jz	0x14C01	0x14c01
0x14C0E	cjne	0x000FF	a, #0xff, 0x14c19
0x14C14	jnz	0x14BFE	0x14bfe
0x14C16	ljmp	0x13DC7	0x13dc7
0x14C35	cjne	0x0007F	r2, #0x7f, 0x14c3a
0x14C92	jnb	0x14C96	acc.7, 0x14c96                       ; [0xe0:1]=0
0x14C96	djnz	0x14C60	dph, 0x14c60                         ; [0x83:1]=0
0x14CC9	jnz	0x14D06	0x14d06
0x14CE0	jz	0x14CED	0x14ced
0x14CE2	jc	0x14CED	0x14ced
0x14D22	jnc	0x14D89	0x14d89
0x14D6D	jz	0x14D72	0x14d72
0x14D6F	ljmp	0x14CED	0x14ced
0x14DB8	jnb	0x14DD2	acc.0, 0x14dd2                       ; [0xe0:1]=0
0x14DF4	jbc	0x00027	0x27.1, 0x14de1                      ; [0x27:1]=0
0x14DF7	jb	0x00027	0x27.4, 0x14e06                      ; [0x27:1]=0
0x14DFA	cjne	0x0002D	a, #0x2d, 0x14e01
0x14E01	cjne	0x0002B	a, #0x2b, 0x14e06
0x14E08	jnc	0x14E51	0x14e51
0x14E0C	jnc	0x14E4F	0x14e4f
0x14E10	jnb	0x00027	0x27.5, 0x14e28                      ; [0x27:1]=0
0x14E1D	jc	0x14E70	0x14e70
0x14E21	jnz	0x14E70	0x14e70
0x14E48	jnb	0x00027	0x27.2, 0x14dff                      ; [0x27:1]=0
0x14E51	jb	0x00027	0x27.5, 0x14e74                      ; [0x27:1]=0
0x14E54	cjne	0x000FE	a, #0xfe, 0x14e5e
0x14E57	jb	0x00027	0x27.2, 0x14e74                      ; [0x27:1]=0
0x14E60	jz	0x14E66	0x14e66
0x14E64	jnz	0x14E74	0x14e74
0x14E71	ljmp	0x13DBD	0x13dbd
0x14E75	jnb	0x00027	0x27.5, 0x14e83                      ; [0x27:1]=0
0x14E7A	jnb	0x00027	0x27.4, 0x14e7f                      ; [0x27:1]=0
0x14E83	jnb	0x00027	0x27.3, 0x14e70                      ; [0x27:1]=0
0x14E88	jb	0x14E70	psw.2, 0x14e70                       ; [0xd0:1]=0
0x14E8F	jnc	0x14E93	0x14e93
0x14E93	cjne	0x00026	a, #0x26, 0x14e96
0x14E96	jnc	0x14E70	0x14e70
0x14EB4	jb	0x00027	0x27.5, 0x14ebc                      ; [0x27:1]=0
0x14EBA	sjmp	0x14EBF	0x14ebf
0x14EBF	jnb	0x00027	0x27.4, 0x14ec5                      ; [0x27:1]=0
0x14EC8	djnz	0x14E5C	r2, 0x14e5c
0x14ECD	jz	0x14EE0	0x14ee0
0x14ED4	ajmp	0x14984	0x14984
0x14EEC	sjmp	0x14EEE	0x14eee
0x14EF1	ljmp	0x13DC7	0x13dc7
0x14EF4	ljmp	0x13DBD	0x13dbd
0x14EF7	cjne	0x00080	r5, #0x80, 0x14ef4
0x14EFA	jnc	0x14EEF	0x14eef
0x14EFC	ljmp	0x13DC4	0x13dc4
0x14F04	jz	0x14EF7	0x14ef7
0x14F19	jnc	0x14F2C	0x14f2c
0x14F1D	jnz	0x14EFA	0x14efa
0x14F1F	jnc	0x14F2C	0x14f2c
0x14F26	jnc	0x14F2C	0x14f2c
0x14F2A	sjmp	0x14EFA	0x14efa
0x14F59	jnz	0x14F5C	0x14f5c
0x14F64	djnz	0x14FA4	r2, 0x14fa4
0x14F6D	jc	0x14F6F	0x14f6f
0x14F72	sjmp	0x14F74	0x14f74
0x14F7A	cjne	0x14F70	a, r4, 0x14f70                       ; [0x4:1]=0
0x14F8E	djnz	0x14FEB	r6, 0x14feb
0x14F90	djnz	0x14F64	r1, 0x14f64
0x14F93	sjmp	0x14F97	0x14f97
0x14FA0	jnz	0x14FAD	0x14fad
0x14FA2	cjne	0x00080	r5, #0x80, 0x14faa
0x14FA7	ljmp	0x13DC7	0x13dc7
0x14FAA	ljmp	0x13DBD	0x13dbd
0x14FAD	jc	0x14FAA	0x14faa
0x14FB1	jz	0x14FA5	0x14fa5
0x14FC0	jc	0x14FE5	0x14fe5
0x14FC9	jc	0x14FE5	0x14fe5
0x14FD2	jc	0x14FE5	0x14fe5
0x14FDB	jc	0x14FE5	0x14fe5
0x1504B	jz	0x1505C	0x1505c
0x15083	jnb	0x00027	0x27.1, 0x15091                      ; [0x27:1]=0
0x15093	cjne	0x0000A	a, #0x0a, 0x1509d
0x1509D	jnb	0x150B1	scon.0, 0x150b1                      ; [0x98:1]=0
0x150A2	cjne	0x00013	r0, #0x13, 0x150b1
0x150A7	jnb	0x150A7	scon.0, 0x150a7                      ; [0x98:1]=0
0x150AE	cjne	0x00011	r0, #0x11, 0x150a7
0x150B1	jnb	0x150B1	scon.1, 0x150b1                      ; [0x98:1]=0
0x150BD	jc	0x150C5	0x150c5
0x150C3	jc	0x150C9	0x150c9
0x150C6	cjne	0x00020	a, #0x20, 0x150cc
0x150CA	sjmp	0x150CD	0x150cd
0x150D5	jc	0x150E2	0x150e2
0x150DB	jnc	0x150E2	0x150e2
0x150EC	jc	0x150F0	0x150f0
0x150EE	sjmp	0x150F7	0x150f7
0x15121	jnz	0x1510E	0x1510e
0x15155	jnz	0x1512D	0x1512d
0x15184	jnc	0x15189	0x15189
0x15186	ljmp	0x1521D	0x1521d
0x151A2	jz	0x151B4	0x151b4
0x151AA	jnz	0x151B2	0x151b2
0x151B2	sjmp	0x15189	0x15189
0x151C2	jz	0x15203	0x15203
0x15201	jnz	0x151B4	0x151b4
0x15253	jnz	0x1527F	0x1527f
0x15256	jz	0x15266	0x15266
0x15264	jnz	0x15269	0x15269
0x1527D	sjmp	0x15234	0x15234
0x15288	jc	0x1528D	0x1528d
0x152AE	jz	0x152EC	0x152ec
0x152DE	jz	0x152A2	0x152a2
0x152EA	sjmp	0x152A2	0x152a2
0x152FE	jz	0x1530C	0x1530c
0x15302	jnz	0x15305	0x15305
0x15307	jnz	0x152FB	0x152fb
0x1530A	sjmp	0x152FB	0x152fb
0x15310	jnz	0x15313	0x15313
0x15318	jnz	0x1531B	0x1531b
0x1531C	jnz	0x15322	0x15322
0x15324	jnz	0x15313	0x15313
0x15327	sjmp	0x15313	0x15313
0x15346	jnc	0x15354	0x15354
0x15352	sjmp	0x15334	0x15334
0x15367	jz	0x1536D	0x1536d
0x1536A	cjne	0x0002D	a, #0x2d, 0x1538a
0x15382	jz	0x15387	0x15387
0x15385	sjmp	0x15388	0x15388
0x153A3	jnc	0x153E4	0x153e4
0x153E2	sjmp	0x15391	0x15391
0x153E4	jnb	0x00027	0x27.1, 0x153f1                      ; [0x27:1]=0
0x153EF	sjmp	0x15400	0x15400
0x1541B	jnb	0x15459	acc.2, 0x15459                       ; [0xe0:1]=0
0x1543B	jc	0x15455	0x15455
0x15450	jc	0x15414	0x15414
0x15452	jb	0x15417	p0.0, 0x15417                        ; [0x80:1]=0
0x15457	sjmp	0x15417	0x15417
0x15459	jnb	0x00026	0x26.0, 0x1545f                      ; [0x26:1]=0
0x1545C	ljmp	0x15527	0x15527
0x1545F	jnb	0x00021	0x21.0, 0x15465                      ; [0x21:1]=0
0x15462	ljmp	0x15527	0x15527
0x1546F	jc	0x15474	0x15474
0x15471	ljmp	0x15524	0x15524
0x1547D	jz	0x1548F	0x1548f
0x15480	jz	0x15498	0x15498
0x15484	jnz	0x154A1	0x154a1
0x1548D	sjmp	0x154AD	0x154ad
0x15496	sjmp	0x154AD	0x154ad
0x1549F	sjmp	0x154AD	0x154ad
0x154E1	jz	0x154FB	0x154fb
0x154E4	jz	0x1550C	0x1550c
0x154E8	jnz	0x1551B	0x1551b
0x154F9	sjmp	0x1551B	0x1551b
0x1550A	sjmp	0x1551B	0x1551b
0x15521	ljmp	0x15465	0x15465
0x15537	jz	0x15563	0x15563
0x15542	cjne	0x1554D	a, r3, 0x1554d                       ; [0x3:1]=0
0x15546	cjne	0x1554D	a, r2, 0x1554d                       ; [0x2:1]=0
0x1554A	ljmp	0x155D3	0x155d3
0x15559	jz	0x1555F	0x1555f
0x1555D	sjmp	0x155D3	0x155d3
0x15561	sjmp	0x155D3	0x155d3
0x15570	jz	0x1559C	0x1559c
0x1557B	cjne	0x15586	a, r3, 0x15586                       ; [0x3:1]=0
0x1557F	cjne	0x15586	a, r2, 0x15586                       ; [0x2:1]=0
0x15584	sjmp	0x155D3	0x155d3
0x15592	jz	0x15598	0x15598
0x15596	sjmp	0x155D3	0x155d3
0x1559A	sjmp	0x155D3	0x155d3
0x155A9	jz	0x155D3	0x155d3
0x155B4	cjne	0x155BF	a, r3, 0x155bf                       ; [0x3:1]=0
0x155B8	cjne	0x155BF	a, r2, 0x155bf                       ; [0x2:1]=0
0x155BD	sjmp	0x155D3	0x155d3
0x155CB	jz	0x155D1	0x155d1
0x155CF	sjmp	0x155D3	0x155d3
0x15602	jz	0x15607	0x15607
0x15604	ljmp	0x157CA	0x157ca
0x15609	jnz	0x1560E	0x1560e
0x1560B	ljmp	0x156A5	0x156a5
0x1560F	jnz	0x15614	0x15614
0x15611	ljmp	0x15731	0x15731
0x15616	jz	0x1561B	0x1561b
0x15618	ljmp	0x157CA	0x157ca
0x1562A	jc	0x15632	0x15632
0x1562C	jnb	0x00020	0x20.0, 0x15632                      ; [0x20:1]=0
0x15642	jnz	0x1565B	0x1565b
0x15659	sjmp	0x1569E	0x1569e
0x1566B	jnz	0x15686	0x15686
0x15684	sjmp	0x1569E	0x1569e
0x156A2	ljmp	0x157E2	0x157e2
0x156B4	jc	0x156BC	0x156bc
0x156B6	jnb	0x00020	0x20.0, 0x156bc                      ; [0x20:1]=0
0x156CC	jnz	0x156E7	0x156e7
0x156E5	sjmp	0x1572A	0x1572a
0x156F7	jnz	0x15712	0x15712
0x15710	sjmp	0x1572A	0x1572a
0x1572E	ljmp	0x157E2	0x157e2
0x15741	jc	0x15754	0x15754
0x1574C	jnc	0x15754	0x15754
0x1574E	jnb	0x00020	0x20.0, 0x15754                      ; [0x20:1]=0
0x15764	jnz	0x1577F	0x1577f
0x1577D	sjmp	0x157C2	0x157c2
0x1578F	jnz	0x157AA	0x157aa
0x157A8	sjmp	0x157C2	0x157c2
0x157C8	sjmp	0x157E2	0x157e2
0x1580C	jz	0x1585D	0x1585d
0x1580F	jnz	0x15814	0x15814
0x15811	ljmp	0x1589D	0x1589d
0x15816	jz	0x1581B	0x1581b
0x15818	ljmp	0x15904	0x15904
0x1582B	jnz	0x15836	0x15836
0x15833	ljmp	0x15906	0x15906
0x1583A	jnz	0x15845	0x15845
0x15842	ljmp	0x15906	0x15906
0x15849	jnz	0x15854	0x15854
0x15851	ljmp	0x15906	0x15906
0x1585A	ljmp	0x15906	0x15906
0x1586D	jnz	0x15878	0x15878
0x15875	ljmp	0x15906	0x15906
0x1587C	jnz	0x15887	0x15887
0x15884	ljmp	0x15906	0x15906
0x1588B	jnz	0x15895	0x15895
0x15893	sjmp	0x15906	0x15906
0x1589B	sjmp	0x15906	0x15906
0x158AD	jnz	0x158B7	0x158b7
0x158B5	sjmp	0x15906	0x15906
0x158BB	jnz	0x158C5	0x158c5
0x158C3	sjmp	0x15906	0x15906
0x158C9	jnz	0x158D3	0x158d3
0x158D1	sjmp	0x15906	0x15906
0x158D3	jnb	0x00021	0x21.3, 0x158f7                      ; [0x21:1]=0
0x158F5	sjmp	0x15906	0x15906
0x15902	sjmp	0x15906	0x15906
0x15916	jz	0x1591A	0x1591a
0x1592C	jc	0x15931	0x15931
0x1592E	ljmp	0x15A64	0x15a64
0x15931	jnb	0x00021	0x21.3, 0x15967                      ; [0x21:1]=0
0x15950	jnz	0x15958	0x15958
0x1595C	jnz	0x15962	0x15962
0x15962	jnz	0x1593B	0x1593b
0x15964	ljmp	0x15A64	0x15a64
0x1596B	cjne	0x00030	a, #0x30, 0x1599b
0x15972	jz	0x1599B	0x1599b
0x1597A	jz	0x1599B	0x1599b
0x15998	ljmp	0x15A64	0x15a64
0x159A0	cjne	0x0002E	a, #0x2e, 0x159ad
0x159A7	jnz	0x159AB	0x159ab
0x159AB	jz	0x159BE	0x159be
0x159B1	jz	0x159B6	0x159b6
0x159B3	ljmp	0x15A35	0x15a35
0x159B9	jz	0x159BE	0x159be
0x159BB	ljmp	0x15A35	0x15a35
0x159C2	jnz	0x159FD	0x159fd
0x159C5	cjne	0x0002E	a, #0x2e, 0x159fd
0x159FB	sjmp	0x15A64	0x15a64
0x15A03	jnz	0x15A64	0x15a64
0x15A09	jnz	0x15A0D	0x15a0d
0x15A0D	jnz	0x15A64	0x15a64
0x15A33	sjmp	0x15A64	0x15a64
0x15A39	cjne	0x0002E	a, #0x2e, 0x15a48
0x15A40	jnz	0x15A46	0x15a46
0x15A46	jz	0x15A64	0x15a64
0x15A8F	jz	0x15AB0	0x15ab0
0x15AAE	sjmp	0x15A8B	0x15a8b
0x15AB0	jb	0x00021	0x21.2, 0x15acf                      ; [0x21:1]=0
0x15ADD	jnb	0x00021	0x21.3, 0x15ae6                      ; [0x21:1]=0
0x15AFA	jnz	0x15B38	0x15b38
0x15AFE	jz	0x15B18	0x15b18
0x15B01	jz	0x15B29	0x15b29
0x15B05	jnz	0x15B38	0x15b38
0x15B16	sjmp	0x15B38	0x15b38
0x15B27	sjmp	0x15B38	0x15b38
0x15B4D	jnc	0x15B53	0x15b53
0x15B68	jnc	0x15B73	0x15b73
0x15B73	jb	0x00021	0x21.2, 0x15b82                      ; [0x21:1]=0
0x15B7A	jnz	0x15B80	0x15b80
0x15B80	jnz	0x15B8A	0x15b8a
0x15BE8	jnz	0x15BF0	0x15bf0
0x15BF4	jnz	0x15BFA	0x15bfa
0x15BFA	jnz	0x15BD3	0x15bd3
0x15C1D	jnz	0x15C6A	0x15c6a
0x15C38	jnc	0x15C6A	0x15c6a
0x15C46	cjne	0x0002E	a, #0x2e, 0x15c53
0x15C51	sjmp	0x15C14	0x15c14
0x15C60	jnz	0x15C68	0x15c68
0x15C68	sjmp	0x15C14	0x15c14
0x15C6C	jnz	0x15C70	0x15c70
0x15C70	jz	0x15C75	0x15c75
0x15C72	ljmp	0x15D29	0x15d29
0x15C79	jnz	0x15C7D	0x15c7d
0x15C7D	jnz	0x15CC7	0x15cc7
0x15C8E	jc	0x15CC7	0x15cc7
0x15CC5	sjmp	0x15D29	0x15d29
0x15CDE	jnz	0x15CE2	0x15ce2
0x15CE2	jnz	0x15D29	0x15d29
0x15CED	jnc	0x15D29	0x15d29
0x15D2E	jnz	0x15D33	0x15d33
0x15D30	ljmp	0x15FF7	0x15ff7
0x15D34	jnz	0x15D39	0x15d39
0x15D36	ljmp	0x16727	0x16727
0x15D3B	jz	0x15D40	0x15d40
0x15D3D	ljmp	0x169DC	0x169dc
0x15D4B	jnz	0x15D50	0x15d50
0x15D4D	ljmp	0x15FE7	0x15fe7
0x15D50	jb	0x00020	0x20.6, 0x15d59                      ; [0x20:1]=0
0x15D53	jnb	0x00020	0x20.0, 0x15d59                      ; [0x20:1]=0
0x15D56	ljmp	0x15FE7	0x15fe7
0x15D69	jz	0x15D6E	0x15d6e
0x15D6B	ljmp	0x15E37	0x15e37
0x15D85	jc	0x15DFF	0x15dff
0x15DA0	jz	0x15DA4	0x15da4
0x15DA2	jnc	0x15DFF	0x15dff
0x15DFC	ljmp	0x15FD4	0x15fd4
0x15E18	jnz	0x15E27	0x15e27
0x15E24	ljmp	0x15FD4	0x15fd4
0x15E34	ljmp	0x15FD4	0x15fd4
0x15E44	jnz	0x15E49	0x15e49
0x15E49	jz	0x15E4E	0x15e4e
0x15E4B	ljmp	0x15F0E	0x15f0e
0x15E67	jc	0x15ED6	0x15ed6
0x15E82	jz	0x15E86	0x15e86
0x15E84	jnc	0x15ED6	0x15ed6
0x15ED3	ljmp	0x15FD4	0x15fd4
0x15EEF	jnz	0x15EFE	0x15efe
0x15EFB	ljmp	0x15FD4	0x15fd4
0x15F0B	ljmp	0x15FD4	0x15fd4
0x15F27	jc	0x15FA0	0x15fa0
0x15F42	jz	0x15F46	0x15f46
0x15F44	jnc	0x15FA0	0x15fa0
0x15F9E	sjmp	0x15FD4	0x15fd4
0x15FB9	jnz	0x15FC7	0x15fc7
0x15FC5	sjmp	0x15FD4	0x15fd4
0x15FE4	ljmp	0x169E3	0x169e3
0x15FF4	ljmp	0x169E3	0x169e3
0x16002	jnz	0x1601C	0x1601c
0x1600F	jz	0x1601C	0x1601c
0x16013	jnz	0x16017	0x16017
0x16017	jz	0x1601C	0x1601c
0x16019	ljmp	0x1671D	0x1671d
0x1602C	jz	0x16031	0x16031
0x1602E	ljmp	0x16267	0x16267
0x1603C	jnz	0x16041	0x16041
0x1603E	ljmp	0x1615C	0x1615c
0x1605A	jz	0x16061	0x16061
0x1605C	jc	0x16061	0x16061
0x1605E	ljmp	0x1615C	0x1615c
0x1607A	jnc	0x1607F	0x1607f
0x1607C	ljmp	0x1615C	0x1615c
0x16119	jnc	0x16131	0x16131
0x1612F	sjmp	0x16149	0x16149
0x16159	ljmp	0x169E3	0x169e3
0x16167	jz	0x1616C	0x1616c
0x16169	ljmp	0x169E3	0x169e3
0x16171	jnz	0x16176	0x16176
0x16176	jz	0x1617B	0x1617b
0x16178	ljmp	0x169E3	0x169e3
0x161C3	jnc	0x16212	0x16212
0x161D7	jc	0x161E1	0x161e1
0x161DF	jc	0x161E5	0x161e5
0x161E2	cjne	0x0002E	a, #0x2e, 0x16202
0x161FA	jnz	0x16202	0x16202
0x16208	jnz	0x16210	0x16210
0x16210	sjmp	0x161AA	0x161aa
0x16264	ljmp	0x169E3	0x169e3
0x16274	jnz	0x16279	0x16279
0x16279	jz	0x1627E	0x1627e
0x1627B	ljmp	0x164D0	0x164d0
0x16295	jc	0x1629A	0x1629a
0x16297	ljmp	0x1639A	0x1639a
0x162A5	jnz	0x162AA	0x162aa
0x162A7	ljmp	0x1639A	0x1639a
0x162C3	jnc	0x162C8	0x162c8
0x162C5	ljmp	0x1639A	0x1639a
0x16304	jc	0x16310	0x16310
0x16312	jnc	0x162F4	0x162f4
0x16397	ljmp	0x169E3	0x169e3
0x1639E	jnz	0x163A4	0x163a4
0x163A4	jnz	0x163B3	0x163b3
0x163B1	jz	0x163C8	0x163c8
0x163C3	jz	0x163C8	0x163c8
0x163C5	ljmp	0x169E3	0x169e3
0x163E1	jc	0x163E6	0x163e6
0x163E3	ljmp	0x169E3	0x169e3
0x1642E	jnc	0x1647D	0x1647d
0x16442	jc	0x1644C	0x1644c
0x1644A	jc	0x16450	0x16450
0x1644D	cjne	0x0002E	a, #0x2e, 0x1646d
0x16465	jnz	0x1646D	0x1646d
0x16473	jnz	0x1647B	0x1647b
0x1647B	sjmp	0x16415	0x16415
0x164CD	ljmp	0x169E3	0x169e3
0x164E9	jz	0x16520	0x16520
0x164EB	jc	0x16520	0x16520
0x16539	jz	0x1653D	0x1653d
0x1653B	jnc	0x16558	0x16558
0x16556	jnc	0x16576	0x16576
0x16571	jz	0x16576	0x16576
0x16573	ljmp	0x166DF	0x166df
0x16586	jc	0x1658B	0x1658b
0x16588	ljmp	0x166DF	0x166df
0x1658F	jnz	0x16594	0x16594
0x16591	ljmp	0x166DF	0x166df
0x16598	jnz	0x1659D	0x1659d
0x1659A	ljmp	0x166DF	0x166df
0x165B6	jnz	0x165D6	0x165d6
0x165D3	ljmp	0x166CC	0x166cc
0x165EF	jz	0x1660D	0x1660d
0x165F1	jc	0x1660D	0x1660d
0x1660B	sjmp	0x16658	0x16658
0x1667A	jz	0x1669F	0x1669f
0x166DC	ljmp	0x169E3	0x169e3
0x166EF	jnc	0x1670D	0x1670d
0x166F5	jz	0x1670D	0x1670d
0x166FB	jz	0x1670D	0x1670d
0x1670A	ljmp	0x169E3	0x169e3
0x1671A	ljmp	0x169E3	0x169e3
0x16724	ljmp	0x169E3	0x169e3
0x16732	jnz	0x16737	0x16737
0x16734	ljmp	0x169CD	0x169cd
0x16737	jnb	0x00020	0x20.6, 0x16740                      ; [0x20:1]=0
0x1673A	jnb	0x00020	0x20.0, 0x16740                      ; [0x20:1]=0
0x1673D	ljmp	0x169CD	0x169cd
0x16750	jz	0x16755	0x16755
0x16752	ljmp	0x1681E	0x1681e
0x1676C	jc	0x167E6	0x167e6
0x16787	jz	0x1678B	0x1678b
0x16789	jnc	0x167E6	0x167e6
0x167E3	ljmp	0x169BB	0x169bb
0x167FF	jnz	0x1680E	0x1680e
0x1680B	ljmp	0x169BB	0x169bb
0x1681B	ljmp	0x169BB	0x169bb
0x1682B	jnz	0x16830	0x16830
0x16830	jz	0x16835	0x16835
0x16832	ljmp	0x168F5	0x168f5
0x1684E	jc	0x168BD	0x168bd
0x16869	jz	0x1686D	0x1686d
0x1686B	jnc	0x168BD	0x168bd
0x168BA	ljmp	0x169BB	0x169bb
0x168D6	jnz	0x168E5	0x168e5
0x168E2	ljmp	0x169BB	0x169bb
0x168F2	ljmp	0x169BB	0x169bb
0x1690E	jc	0x16987	0x16987
0x16929	jz	0x1692D	0x1692d
0x1692B	jnc	0x16987	0x16987
0x16985	sjmp	0x169BB	0x169bb
0x169A0	jnz	0x169AE	0x169ae
0x169AC	sjmp	0x169BB	0x169bb
0x169CB	sjmp	0x169E3	0x169e3
0x169DA	sjmp	0x169E3	0x169e3
0x16A01	jnz	0x16A09	0x16a09
0x16A0D	jnz	0x16A13	0x16a13
0x16A13	jnz	0x169EC	0x169ec
0x16A1F	jnb	0x00026	0x26.0, 0x16a25                      ; [0x26:1]=0
0x16A22	ljmp	0x16CE5	0x16ce5
0x16A38	jc	0x16A3D	0x16a3d
0x16A3A	ljmp	0x16B45	0x16b45
0x16A46	jc	0x16A4B	0x16a4b
0x16A48	ljmp	0x16B45	0x16b45
0x16A5D	jnc	0x16AC1	0x16ac1
0x16A66	jnc	0x16AC1	0x16ac1
0x16A69	cjne	0x16A97	a, r7, 0x16a97                       ; [0x7:1]=0
0x16A6D	cjne	0x00004	a, #0x04, 0x16a97
0x16A7B	jz	0x16A83	0x16a83
0x16A81	jnz	0x16A8D	0x16a8d
0x16A8A	ljmp	0x16B13	0x16b13
0x16A95	sjmp	0x16B13	0x16b13
0x16AA4	cjne	0x16AB6	a, r7, 0x16ab6                       ; [0x7:1]=0
0x16AA8	cjne	0x00008	a, #0x08, 0x16ab6
0x16AB4	sjmp	0x16B13	0x16b13
0x16ABF	sjmp	0x16B13	0x16b13
0x16AD3	jnc	0x16AFC	0x16afc
0x16ADC	jnc	0x16AFC	0x16afc
0x16ADF	cjne	0x16AF1	a, r7, 0x16af1                       ; [0x7:1]=0
0x16AE3	cjne	0x00010	a, #0x10, 0x16af1
0x16AEF	sjmp	0x16B13	0x16b13
0x16AFA	sjmp	0x16B13	0x16b13
0x16AFD	jnz	0x16B02	0x16b02
0x16B02	jz	0x16B13	0x16b13
0x16B05	jnz	0x16B0A	0x16b0a
0x16B0A	jz	0x16B13	0x16b13
0x16B20	cjne	0x16B31	a, r7, 0x16b31                       ; [0x7:1]=0
0x16B24	cjne	0x00004	a, #0x04, 0x16b31
0x16B32	jnz	0x16B37	0x16b37
0x16B37	jz	0x16B3C	0x16b3c
0x16B39	ljmp	0x16DB9	0x16db9
0x16B58	jc	0x16B5D	0x16b5d
0x16B5A	ljmp	0x16C0E	0x16c0e
0x16B66	jc	0x16B6B	0x16b6b
0x16B68	ljmp	0x16C0E	0x16c0e
0x16B7D	jnc	0x16BB9	0x16bb9
0x16B86	jnc	0x16BB9	0x16bb9
0x16B89	cjne	0x16B9B	a, r7, 0x16b9b                       ; [0x7:1]=0
0x16B8D	cjne	0x00004	a, #0x04, 0x16b9b
0x16B99	sjmp	0x16BDC	0x16bdc
0x16B9C	cjne	0x16BAE	a, r7, 0x16bae                       ; [0x7:1]=0
0x16BA0	cjne	0x00008	a, #0x08, 0x16bae
0x16BAC	sjmp	0x16BDC	0x16bdc
0x16BB7	sjmp	0x16BDC	0x16bdc
0x16BC6	jnz	0x16BCB	0x16bcb
0x16BCB	jz	0x16BDC	0x16bdc
0x16BCE	jnz	0x16BD3	0x16bd3
0x16BD3	jz	0x16BDC	0x16bdc
0x16BE9	cjne	0x16BFA	a, r7, 0x16bfa                       ; [0x7:1]=0
0x16BED	cjne	0x00004	a, #0x04, 0x16bfa
0x16BFB	jnz	0x16C00	0x16c00
0x16C00	jz	0x16C05	0x16c05
0x16C02	ljmp	0x16DB9	0x16db9
0x16C22	cjne	0x16C31	a, r7, 0x16c31                       ; [0x7:1]=0
0x16C26	cjne	0x00004	a, #0x04, 0x16c31
0x16C32	cjne	0x16C42	a, r7, 0x16c42                       ; [0x7:1]=0
0x16C36	cjne	0x00008	a, #0x08, 0x16c42
0x16C43	cjne	0x16C53	a, r7, 0x16c53                       ; [0x7:1]=0
0x16C47	cjne	0x00010	a, #0x10, 0x16c53
0x16C60	cjne	0x16C70	a, r7, 0x16c70                       ; [0x7:1]=0
0x16C64	cjne	0x00010	a, #0x10, 0x16c70
0x16C71	cjne	0x16C81	a, r7, 0x16c81                       ; [0x7:1]=0
0x16C75	cjne	0x00020	a, #0x20, 0x16c81
0x16C82	cjne	0x16C92	a, r7, 0x16c92                       ; [0x7:1]=0
0x16C86	cjne	0x00004	a, #0x04, 0x16c92
0x16C93	cjne	0x16CA3	a, r7, 0x16ca3                       ; [0x7:1]=0
0x16C97	cjne	0x00008	a, #0x08, 0x16ca3
0x16CB0	cjne	0x16CC0	a, r7, 0x16cc0                       ; [0x7:1]=0
0x16CB4	cjne	0x00004	a, #0x04, 0x16cc0
0x16CC1	cjne	0x16CD1	a, r7, 0x16cd1                       ; [0x7:1]=0
0x16CC5	cjne	0x00008	a, #0x08, 0x16cd1
0x16CD2	jnz	0x16CD7	0x16cd7
0x16CD7	jz	0x16CDC	0x16cdc
0x16CD9	ljmp	0x16DB9	0x16db9
0x16CE5	jb	0x00026	0x26.0, 0x16ceb                      ; [0x26:1]=0
0x16CE8	ljmp	0x16DB9	0x16db9
0x16CFB	jc	0x16D00	0x16d00
0x16CFD	ljmp	0x16DB9	0x16db9
0x16D13	jnc	0x16D69	0x16d69
0x16D1E	jnc	0x16D69	0x16d69
0x16D29	jc	0x16D55	0x16d55
0x16D34	jnc	0x16D55	0x16d55
0x16D3A	jnz	0x16D40	0x16d40
0x16D40	jnz	0x16DB9	0x16db9
0x16D4D	jz	0x16D55	0x16d55
0x16D53	jnz	0x16DB9	0x16db9
0x16D7C	jnc	0x16DB9	0x16db9
0x16D87	jnc	0x16DB9	0x16db9
0x16D99	jc	0x16DA6	0x16da6
0x16DA4	jc	0x16DB9	0x16db9
0x16DBE	jnb	0x16DC4	acc.2, 0x16dc4                       ; [0xe0:1]=0
0x16DC1	ljmp	0x16E7A	0x16e7a
0x16DE7	jnz	0x16E14	0x16e14
0x16DED	jnc	0x16DF5	0x16df5
0x16DF1	jnc	0x16E04	0x16e04
0x16DF3	sjmp	0x16E14	0x16e14
0x16E02	sjmp	0x16E46	0x16e46
0x16E12	sjmp	0x16E46	0x16e46
0x16E37	jb	0x16E46	acc.2, 0x16e46                       ; [0xe0:1]=0
0x16E3E	jb	0x16E46	acc.2, 0x16e46                       ; [0xe0:1]=0
0x16E44	sjmp	0x16E33	0x16e33
0x16E6A	jnc	0x16E78	0x16e78
0x16E70	jnb	0x16E78	acc.2, 0x16e78                       ; [0xe0:1]=0
