address	count
0x08A9E	241
0x08048	212
0x08A86	186
0x08A77	184
0x08B3C	180
0x08A7C	172
0x08108	152
0x08A97	128
0x0805F	122
0x05F00	118
0x08A4A	118
0x081BC	111
0x08A6D	110
0x0804E	106
0x0804F	105
0x07E00	102
0x0805C	100
0x0804C	99
0x08035	95
0x07E02	94
0x08ACC	92
0x08AD2	84
0x07B00	83
0x08A6A	80
0x07D01	79
0x08A42	77
0x07D02	77
0x08AA0	76
0x08054	75
0x08038	74
0x08AA1	74
0x08A89	68
0x08A46	66
0x08036	64
0x08A8A	64
0x0804D	63
0x08050	63
0x08A47	62
0x08AB7	60
0x08ACA	58
0x08A7D	58
0x06F02	57
0x08A52	56
0x07B01	55
0x07B02	55
0x08B39	55
0x07702	54
0x07E01	53
0x08661	52
0x08A7B	52
0x080F3	50
0x08A85	50
0x08A56	48
0x07D00	47
0x08AC5	47
0x08A44	44
0x08B3B	42
0x08A54	42
0x08061	41
0x0FFFF	38
0x08A8E	38
0x08AD0	37
0x08AD6	36
0x08ABB	36
0x08069	36
0x03F80	36
0x08A5A	36
0x08A66	36
0x08A4F	36
0x08A9D	34
0x08A92	34
0x08059	33
0x08AD8	32
0x08AC1	32
0x08A7E	32
0x08A67	30
0x08051	29
0x0805D	29
0x08067	28
0x08A45	28
0x08A4E	28
0x08A6B	28
0x08A6C	28
0x08A88	28
0x2000804E	26
0x20007E00	26
0x08AD4	26
0x08A43	26
0x08A78	26
0x08A53	26
0x08A87	26
0x081D9	24
0x08AD7	24
0x08AC7	24
0x08A5E	24
0x08A90	24
0x08A6E	24
0x081C0	23
0x08ACB	23
0x20008108	22
0x08105	22
0x08ADE	22
0x08A63	22
0x08A4C	22
0x080C9	20
0x08AE2	20
0x08A50	20
0x08AAB	20
0x08A4D	20
0x080F7	19
0x08AC8	19
0x08B3E	18
0x08A98	18
0x08A48	18
0x08A59	18
0x08A62	18
0x08A73	18
0x08AA7	18
0x08A94	18
0x081BA	17
0x08149	17
0x20008B3C	16
0x08AD3	16
0x08ABE	16
0x089F7	16
0x08A64	16
0x0863E	15
0x08642	15
0x0810A	14
0x20008B3B	14
0x07F80	14
0x05F80	14
0x08A99	14
0x08000	14
0x08A96	14
0x08B41	14
0x08A7F	14
0x08033	14
0x08A4B	14
0x080B7	14
0x08A68	14
0x08A6F	14
0x08639	14
0x08085	13
0x080B9	13
0x08646	13
0x20008ACA	12
0x08AD5	12
0x08AD9	12
0x08ACE	12
0x08ADC	12
0x08AC9	12
0x08B3F	12
0x08B2A	12
0x0865B	12
0x0865D	12
0x0865F	12
0x08A49	12
0x08A55	12
0x08040	12
0x0803C	12
0x08A9F	12
0x08A60	12
0x08A76	12
0x08A61	12
0x08A8C	12
0x089FA	12
0x08A7A	12
0x08089	11
0x0805B	11
0x06F00	11
0x08060	11
0x06F01	11
0x20008B39	11
0x08006	10
0x08659	10
0x08B40	10
0x08B2D	10
0x08A5F	10
0x08A74	10
0x08AAE	10
0x08A80	10
0x08A71	10
0x08A70	10
0x08A2A	9
0x20008AD0	9
0x08AD1	9
0x200081D9	8
0x20008AD2	8
0x08AC6	8
0x08ABD	8
0x081BB	8
0x08A23	8
0x08AAF	8
0x08AAD	8
0x08A79	8
0x20008035	7
0x20007B00	7
0x08087	7
0x080BB	7
0x08A2B	6
0x20008B3E	6
0x0806A	6
0x0817C	6
0x08A81	6
0x089F4	6
0x07701	6
0x07700	6
0x08044	6
0x08A9C	6
0x08A5B	6
0x08A5C	6
0x08A65	6
0x08A69	6
0x08AB3	6
0x08AA9	6
0x08A5D	6
0x0866C	6
0x08A84	6
0x20006F02	5
0x200081C0	5
0x20007E01	5
0x200080F7	5
0x08145	5
0x08B42	5
0x08B3A	5
0x20007702	4
0x00001	4
0x08106	4
0x08B2B	4
0x08037	4
0x08A58	4
0x08AAC	4
0x08AA8	4
0x08A8B	4
0x089DF	4
0x08AAA	4
0x08A91	4
0x08A24	3
0x20008085	3
0x200080B9	3
0x20008A2A	3
0x08A28	3
0x0046E	3
0x0868F	3
0x0863D	3
0x20008061	3
0x07B03	3
0x07D03	3
0x07E03	3
0x07703	3
0x06F03	3
0x080C5	3
0x080CD	3
0x080D1	3
0x080E3	3
0x080E7	3
0x080EB	3
0x080EF	3
0x08053	3
0x081F7	3
0x20008105	2
0x2000810A	2
0x20008A2B	2
0x20008661	2
0x2000805C	2
0x20007E02	2
0x20008036	2
0x20008006	2
0x20008659	2
0x20008067	2
0x20008B40	2
0x20008AD4	2
0x0806B	2
0x080F8	2
0x0814A	2
0x0817D	2
0x03A00	2
0x0F062	2
0x0F02E	2
0x0EFDF	2
0x0EF5C	2
0x06E8E	2
0x07318	2
0x0F311	2
0x0EFFE	2
0x0F011	2
0x0F088	2
0x05401	2
0x0CDD7	2
0x05AE9	2
0x06A1D	2
0x060BB	2
0x07FE4	2
0x08E3C	2
0x0CA15	2
0x0F425	2
0x0E7E2	2
0x09387	2
0x0EA24	2
0x09FD3	2
0x0B311	2
0x0B2B0	2
0x08B23	2
0x0B0F8	2
0x0E839	2
0x0B59A	2
0x07101	2
0x0F267	2
0x0ED82	2
0x046EF	2
0x08A1C	2
0x04BC3	2
0x04EC7	2
0x08B3D	2
0x080DA	2
0x08A9B	2
0x08A9A	2
0x00080	2
0x08A75	2
0x01F80	2
0x07F00	2
0x080B3	2
0x08055	2
0x080BD	2
0x08081	2
0x08002	2
0x08125	2
0x08141	2
0x0E917	2
0x08AE3	2
0x0F159	2
0x0F1E8	2
0x20008A24	1
0x20008A9E	1
0x200081BC	1
0x20008A28	1
0x2000046E	1
0x2000868F	1
0x2000863D	1
0x20008A42	1
0x20007B03	1
0x20007D03	1
0x20007E03	1
0x20007703	1
0x20006F03	1
0x200080C5	1
0x200080CD	1
0x200080D1	1
0x200080E3	1
0x200080E7	1
0x200080EB	1
0x200080EF	1
0x20008089	1
0x20008145	1
0x200081BA	1
0x20008051	1
0x20008059	1
0x2000805D	1
0x2000863E	1
0x20008642	1
0x20008646	1
0x2000804D	1
0x20007B01	1
0x20008050	1
0x20007B02	1
0x2000804C	1
0x20007D00	1
0x2000804F	1
0x20007D01	1
0x20008054	1
0x20007D02	1
0x20008053	1
0x2000805B	1
0x20006F00	1
0x20008060	1
0x20006F01	1
0x20008149	1
0x200081F7	1
0x20008B42	1
0x20008B3A	1
0x20008AC5	1
0x20008087	1
0x200080BB	1
0x20008AD1	1
0x20008ACB	1
0x20008AC8	1
0x05528	1
0x03F24	1
0x0402B	1
0x04573	1
0x04F61	1
0x07D2B	1
