entry,name,size_bytes,instruction_count,thunk
CODE:389d,FUN_CODE_389d,9,5,0
CODE:38a6,FUN_CODE_38a6,15,8,0
CODE:38bc,FUN_CODE_38bc,5,2,0
CODE:38c1,FUN_CODE_38c1,5,2,0
CODE:38c6,FUN_CODE_38c6,5,2,0
CODE:38cb,FUN_CODE_38cb,5,2,0
CODE:38d0,FUN_CODE_38d0,5,2,0
CODE:38d5,FUN_CODE_38d5,5,2,0
CODE:38ee,FUN_CODE_38ee,5,2,0
CODE:3939,FUN_CODE_3939,5,2,0
CODE:39ef,FUN_CODE_39ef,15,10,0
CODE:39fe,FUN_CODE_39fe,1,1,0
CODE:39ff,FUN_CODE_39ff,1,1,0
CODE:3a00,FUN_CODE_3a00,7,3,0
CODE:3a08,FUN_CODE_3a08,4,2,0
CODE:3a0c,thunk_FUN_CODE_3dbd,3,1,1
CODE:3a0f,FUN_CODE_3a0f,4,3,0
CODE:3a13,FUN_CODE_3a13,23,20,0
CODE:3a2a,FUN_CODE_3a2a,1,1,0
CODE:3a2b,FUN_CODE_3a2b,33,27,0
CODE:3a4c,FUN_CODE_3a4c,13,6,0
CODE:3a59,FUN_CODE_3a59,8,5,0
CODE:3a61,thunk_FUN_CODE_3dc7,3,1,1
CODE:3a64,FUN_CODE_3a64,27,17,0
CODE:3a7f,FUN_CODE_3a7f,7,6,0
CODE:3a86,FUN_CODE_3a86,10,8,0
CODE:3a90,FUN_CODE_3a90,9,7,0
CODE:3a99,FUN_CODE_3a99,6,4,0
CODE:3a9f,FUN_CODE_3a9f,15,14,0
CODE:3aae,FUN_CODE_3aae,26,22,0
CODE:3ac8,FUN_CODE_3ac8,5,2,0
CODE:3acd,FUN_CODE_3acd,12,12,0
CODE:3ad9,FUN_CODE_3ad9,7,3,0
CODE:3ae0,FUN_CODE_3ae0,21,15,0
CODE:3af5,FUN_CODE_3af5,12,12,0
CODE:3b01,thunk_FUN_CODE_3d9f,3,1,1
CODE:3b04,FUN_CODE_3b04,20,17,0
CODE:3b18,FUN_CODE_3b18,1,1,0
