name,start,end,size,permissions
CODE,CODE:0000,CODE:ffff,65536,rwx
REG_BANK_1,INTMEM:00,INTMEM:07,8,rw-
REG_BANK_2,INTMEM:08,INTMEM:0f,8,rw-
REG_BANK_3,INTMEM:10,INTMEM:17,8,rw-
REG_BANK_4,INTMEM:18,INTMEM:1f,8,rw-
INTMEM,INTMEM:20,INTMEM:ff,224,rw-
SFR,SFR:80,SFR:ff,128,rw-
BITS,BITS:00,BITS:7f,128,rw-
SFR-BITS,BITS:80,BITS:ff,128,rw-
